text	emotions	text_proc	cat1_score	cat2_score	cat3_score
It really is a barbaric treatment, in my opinion.Good luck,<PERSON> :)	[0, 0, 0, 0, 0, 1]	it really is a barbaric treatment , in my opinion.good luck , <person> :)	0.145478293299675	0.015269529074430466	0.013801010325551033
I hate it, but I hate cancer more.	[0, 0, 0, 0, 0, 1]	i hate it , but i hate cancer more .	0.0617944672703743	0.014140283688902855	0.012263648211956024
Posting the same question twice is not considered good form on Forums such as this.	[0, 0, 0, 0, 0, 1]	posting the same question twice is not considered good form on forums such as this .	0.05935414507985115	0.01418687030673027	0.015760155394673347
These insurance companies should be ashamed of themselves.	[0, 0, 0, 0, 0, 1]	these insurance companies should be ashamed of themselves .	0.041442595422267914	0.013592138886451721	0.016949860379099846
Hey, lol, if I am going to pay for a meal I want to be able to taste it without the metal taste.Deb	[0, 0, 0, 0, 0, 1]	hey , lol , if i am going to pay for a meal i want to be able to taste it without the metal taste.deb	0.039568088948726654	0.013662933371961117	0.013443132862448692
I've been on it for about a year now, and off and on have extremely dry, flaky skin.	[0, 0, 0, 0, 0, 1]	i ' ve been on it for about a year now , and off and on have extremely dry , flaky skin .	0.16405165195465088	0.01673717610538006	0.014133998192846775
"From the moment you hear the words, ""breast cancer"" you are in a whirlwind of appointments, tests and procedures."	[0, 0, 0, 0, 0, 1]	"from the moment you hear the words , "" breast cancer "" you are in a whirlwind of appointments , tests and procedures ."	0.32779064774513245	0.018738988786935806	0.030426455661654472
I hear that most men live a long and normal life.	[0, 0, 0, 0, 0, 0]	i hear that most men live a long and normal life .	0.8392095565795898	0.06027179956436157	0.08905735611915588
All of my lab work and blood pressure is in the normal range.	[0, 0, 0, 0, 0, 0]	all of my lab work and blood pressure is in the normal range .	0.48133841156959534	0.04036843031644821	0.04869461432099342
I had my left lung removed in May 2006.	[0, 0, 0, 0, 0, 0]	i had my left lung removed in may 2006 .	0.05096030235290527	0.01714073307812214	0.019601969048380852
Nine years ago, at age 55 I was also diagnosed with stage 3b adenocarcinoma.	[0, 0, 0, 0, 0, 0]	nine years ago , at age 55 i was also diagnosed with stage 3b adenocarcinoma .	0.48869967460632324	0.11297951638698578	0.16709968447685242
It's OK to lean on us, so that we can help to hold you up, support you.	[0, 0, 0, 0, 0, 0]	it ' s ok to lean on us , so that we can help to hold you up , support you .	0.04025314748287201	0.012977689504623413	0.01362096332013607
MTN I know you know, however I still want to say you've got my prayers, hugs and support.	[0, 0, 0, 0, 0, 0]	mtn i know you know , however i still want to say you ' ve got my prayers , hugs and support .	0.02420242317020893	0.01374524924904108	0.017356185242533684
Erections are lasting between 1.5 - 2.5 hrs with dose of 0.1 ml  which is equal to 10 units.	[0, 0, 0, 0, 0, 0]	erections are lasting between 1.5 - 2.5 hrs with dose of 0.1 ml which is equal to 10 units .	0.8649512529373169	0.12205640971660614	0.12978821992874146
I was told a week ago that I had a large mass in my left lung.	[0, 0, 0, 0, 0, 1]	i was told a week ago that i had a large mass in my left lung .	0.18222349882125854	0.027120133861899376	0.025713635608553886
Had a big leak after 4hrs of sleep.	[0, 0, 0, 0, 0, 1]	had a big leak after 4hrs of sleep .	0.2227640002965927	0.01584477536380291	0.014724759384989738
"Re the ""you look good"" comments turns out people were lying."	[0, 0, 0, 0, 0, 1]	"re the "" you look good "" comments turns out people were lying ."	0.047304339706897736	0.013785759918391705	0.013262944296002388
We all know it's poison we take with the hope it kills the cancer befor it kills us.	[0, 0, 0, 0, 0, 1]	we all know it ' s poison we take with the hope it kills the cancer befor it kills us .	0.73858243227005	0.02581510692834854	0.042413994669914246
If these fads worked there would be no cancer.	[0, 0, 0, 0, 0, 1]	if these fads worked there would be no cancer .	0.20059391856193542	0.014206483028829098	0.0169649887830019
JRL, not sure how they can know exactly what it is without biopsy, and they usually don't biopsy until 1 cm.	[0, 0, 0, 0, 0, 1]	jrl , not sure how they can know exactly what it is without biopsy , and they usually do n't biopsy until 1 cm .	0.360784649848938	0.017452629283070564	0.0201798677444458
I am 30 and I certainly can't imagine what you are going through.	[0, 0, 0, 0, 0, 0]	i am 30 and i certainly can't imagine what you are going through .	0.04273368790745735	0.01389116607606411	0.013408375903964043
he supported me during the surgeries, but left me the night after I left  the hospital after the surgery.	[0, 0, 0, 0, 0, 0]	he supported me during the surgeries , but left me the night after i left the hospital after the surgery .	0.041404638439416885	0.0140572814270854	0.01648460328578949
Your doctor found no cancer in the dissected nodes, which indicates a good diagnosis.Take care.	[0, 0, 0, 0, 0, 0]	your doctor found no cancer in the dissected nodes , which indicates a good diagnosis.take care .	0.43967413902282715	0.0298172440379858	0.03707278147339821
I told hubby that when all else fails just start crying....they all softened attitudes when they saw how upset I was.	[0, 0, 0, 0, 0, 0]	i told hubby that when all else fails just start crying ... they all softened attitudes when they saw how upset i was .	0.04584013298153877	0.013215530663728714	0.012078305706381798
This is a good place to come, but not alot of traffic.	[0, 0, 0, 0, 0, 0]	this is a good place to come , but not alot of traffic .	0.0467383898794651	0.014198091812431812	0.019966425374150276
I've seen this suggestion a couple times when search the different discussion boards, but need confirmation.	[0, 0, 0, 0, 0, 0]	i ' ve seen this suggestion a couple times when search the different discussion boards , but need confirmation .	0.020085368305444717	0.0161852166056633	0.022694120183587074
Not something were thrilled to hear, but am sure you will breeze through it, keep us posted on what route your going to take, you do have many options.	[0, 0, 0, 0, 0, 0]	not something were thrilled to hear , but am sure you will breeze through it , keep us posted on what route your going to take , you do have many options .	0.02741071581840515	0.014541570097208023	0.014966446906328201
I had similar treatment about a year ago, I was in pretty much awesome physical shape when diagnosed (other than the obvious!	[0, 0, 0, 0, 0, 0]	i had similar treatment about a year ago , i was in pretty much awesome physical shape when diagnosed ( other than the obvious !	0.3149397671222687	0.02383648231625557	0.02228190377354622
Hi <PERSON>, and welcome..I understand how you feel about missing a loved one.	[0, 0, 0, 0, 0, 0]	hi <person> , and welcome .. i understand how you feel about missing a loved one .	0.035453666001558304	0.01399313472211361	0.014157623052597046
On Taxol ALL remaining hair on body left.	[0, 0, 0, 0, 0, 0]	on taxol all remaining hair on body left .	0.03136686608195305	0.014293566346168518	0.019621603190898895
i had my surgery in sept. 2003.  no psa rise until one year later.	[0, 0, 0, 0, 0, 0]	i had my surgery in sept . 2003 . no psa rise until one year later .	0.11001532524824142	0.019087541848421097	0.018311919644474983
Try this website: http://scielo.isciii.es/pdf/urol/v60n4/en_robotica9.pdfWhen I asked my surgeon at <PERSON> about some of these different techniques he said if your surgeon is good he will be keeping up with the latest techniques and including in their surgery.Another <PERSON>	[0, 0, 0, 0, 0, 0]	try this website : http://scielo.isciii.es/pdf/urol/v60n4/en_robotica9.pdfwhen i asked my surgeon at <person> about some of these different techniques he said if your surgeon is good he will be keeping up with the latest techniques and including in their surgery.another <person>	0.057818859815597534	0.2250174731016159	0.45899805426597595
they left a few stray nodes when they did the mastectomy.	[0, 0, 0, 0, 0, 0]	they left a few stray nodes when they did the mastectomy .	0.21305420994758606	0.01545747835189104	0.0185624361038208
Just got my psa test back, came in at less than 0.1.	[0, 0, 0, 0, 0, 0]	just got my psa test back , came in at less than 0.1 .	0.03696057200431824	0.014534739777445793	0.015300361439585686
I know it takes courage to get out!	[0, 0, 0, 0, 0, 0]	i know it takes courage to get out !	0.06425102800130844	0.012406467460095882	0.01258823275566101
This time it will not be a needle biopsy like the last one, instead they will send a tube through my nose and into my lung.	[0, 0, 0, 0, 0, 1]	this time it will not be a needle biopsy like the last one , instead they will send a tube through my nose and into my lung .	0.19638334214687347	0.016636252403259277	0.01889248564839363
Same here on all accounts.Take care,<PERSON>	[0, 0, 0, 0, 0, 1]	same here on all accounts.take care , <person>	0.024044761434197426	0.015040862374007702	0.015957774594426155
I di dnot have the energy to go on with my 9 month litany--lo	[0, 0, 0, 0, 0, 1]	i di dnot have the energy to go on with my 9 month litany--lo	0.020019471645355225	0.015355158597230911	0.01973089389503002
Like mine at 0.9 is not good and growing some whereYour dad is young and he can handle some of these new drugs.	[0, 0, 0, 0, 0, 1]	like mine at 0.9 is not good and growing some whereyour dad is young and he can handle some of these new drugs .	0.16057972609996796	0.014724723994731903	0.015382930636405945
I was wondering if anyone else here has experienced this since after treatments.	[0, 0, 0, 0, 0, 1]	i was wondering if anyone else here has experienced this since after treatments .	0.05673481896519661	0.014876271598041058	0.014920998364686966
Mine is fairly low but well above bra line.	[0, 0, 0, 0, 0, 1]	mine is fairly low but well above bra line .	0.0516655333340168	0.013155058026313782	0.016458354890346527
my mom is starting chemo on Monday, I do not know what type  yet .	[0, 0, 0, 0, 0, 1]	my mom is starting chemo on monday , i do not know what type yet .	0.02228667214512825	0.015140976756811142	0.018577193841338158
Has he been fitted for a compression sleeve or any compression garments?	[0, 0, 0, 0, 0, 1]	has he been fitted for a compression sleeve or any compression garments ?	0.055572766810655594	0.016108958050608635	0.01579456403851509
