	text	emotions
0	It really is a barbaric treatment, in my opinion.Good luck,<PERSON> :)	[0, 0, 0, 0, 0, 1]
1	I hate it, but I hate cancer more.	[0, 0, 0, 0, 0, 1]
2	Posting the same question twice is not considered good form on Forums such as this.	[0, 0, 0, 0, 0, 1]
3	These insurance companies should be ashamed of themselves.	[0, 0, 0, 0, 0, 1]
4	Hey, lol, if I am going to pay for a meal I want to be able to taste it without the metal taste.Deb	[0, 0, 0, 0, 0, 1]
5	I've been on it for about a year now, and off and on have extremely dry, flaky skin.	[0, 0, 0, 0, 0, 1]
6	"From the moment you hear the words, ""breast cancer"" you are in a whirlwind of appointments, tests and procedures."	[0, 0, 0, 0, 0, 1]
7	I hear that most men live a long and normal life.	[0, 0, 0, 0, 0, 0]
8	All of my lab work and blood pressure is in the normal range.	[0, 0, 0, 0, 0, 0]
9	I had my left lung removed in May 2006.	[0, 0, 0, 0, 0, 0]
10	Nine years ago, at age 55 I was also diagnosed with stage 3b adenocarcinoma.	[0, 0, 0, 0, 0, 0]
11	It's OK to lean on us, so that we can help to hold you up, support you.	[0, 0, 0, 0, 0, 0]
12	MTN I know you know, however I still want to say you've got my prayers, hugs and support.	[0, 0, 0, 0, 0, 0]
13	Erections are lasting between 1.5 - 2.5 hrs with dose of 0.1 ml  which is equal to 10 units.	[0, 0, 0, 0, 0, 0]
14	I was told a week ago that I had a large mass in my left lung.	[0, 0, 0, 0, 0, 1]
15	Had a big leak after 4hrs of sleep.	[0, 0, 0, 0, 0, 1]
16	"Re the ""you look good"" comments turns out people were lying."	[0, 0, 0, 0, 0, 1]
17	We all know it's poison we take with the hope it kills the cancer befor it kills us.	[0, 0, 0, 0, 0, 1]
18	If these fads worked there would be no cancer.	[0, 0, 0, 0, 0, 1]
19	JRL, not sure how they can know exactly what it is without biopsy, and they usually don't biopsy until 1 cm.	[0, 0, 0, 0, 0, 1]
20	I am 30 and I certainly can't imagine what you are going through.	[0, 0, 0, 0, 0, 0]
21	he supported me during the surgeries, but left me the night after I left  the hospital after the surgery.	[0, 0, 0, 0, 0, 0]
22	Your doctor found no cancer in the dissected nodes, which indicates a good diagnosis.Take care.	[0, 0, 0, 0, 0, 0]
23	I told hubby that when all else fails just start crying....they all softened attitudes when they saw how upset I was.	[0, 0, 0, 0, 0, 0]
24	This is a good place to come, but not alot of traffic.	[0, 0, 0, 0, 0, 0]
25	I've seen this suggestion a couple times when search the different discussion boards, but need confirmation.	[0, 0, 0, 0, 0, 0]
26	Not something were thrilled to hear, but am sure you will breeze through it, keep us posted on what route your going to take, you do have many options.	[0, 0, 0, 0, 0, 0]
27	I had similar treatment about a year ago, I was in pretty much awesome physical shape when diagnosed (other than the obvious!	[0, 0, 0, 0, 0, 0]
28	Hi <PERSON>, and welcome..I understand how you feel about missing a loved one.	[0, 0, 0, 0, 0, 0]
29	On Taxol ALL remaining hair on body left.	[0, 0, 0, 0, 0, 0]
30	i had my surgery in sept. 2003.  no psa rise until one year later.	[0, 0, 0, 0, 0, 0]
31	Try this website: http://scielo.isciii.es/pdf/urol/v60n4/en_robotica9.pdfWhen I asked my surgeon at <PERSON> about some of these different techniques he said if your surgeon is good he will be keeping up with the latest techniques and including in their surgery.Another <PERSON>	[0, 0, 0, 0, 0, 0]
32	they left a few stray nodes when they did the mastectomy.	[0, 0, 0, 0, 0, 0]
33	Just got my psa test back, came in at less than 0.1.	[0, 0, 0, 0, 0, 0]
34	I know it takes courage to get out!	[0, 0, 0, 0, 0, 0]
35	This time it will not be a needle biopsy like the last one, instead they will send a tube through my nose and into my lung.	[0, 0, 0, 0, 0, 1]
36	Same here on all accounts.Take care,<PERSON>	[0, 0, 0, 0, 0, 1]
37	I di dnot have the energy to go on with my 9 month litany--lo	[0, 0, 0, 0, 0, 1]
38	Like mine at 0.9 is not good and growing some whereYour dad is young and he can handle some of these new drugs.	[0, 0, 0, 0, 0, 1]
39	I was wondering if anyone else here has experienced this since after treatments.	[0, 0, 0, 0, 0, 1]
40	Mine is fairly low but well above bra line.	[0, 0, 0, 0, 0, 1]
41	my mom is starting chemo on Monday, I do not know what type  yet .	[0, 0, 0, 0, 0, 1]
42	Has he been fitted for a compression sleeve or any compression garments?	[0, 0, 0, 0, 0, 1]
43	He was forced to rent a room from his ex-wife, in the house he purchased over twenty years ago.	[0, 0, 0, 0, 0, 1]
44	Presurgical MRI showed a spot deep in the left breast.	[0, 0, 0, 0, 0, 1]
45	I had an even longer wait.	[0, 0, 0, 0, 0, 1]
46	It coats the throat and also helps with constipation.	[0, 0, 0, 0, 0, 1]
47	My worse side effects were after all my treatments were done, then really bad fatigue that lasted for about 5 weeks.	[0, 0, 0, 0, 0, 1]
48	If it is, the pneumonitis may require treatment before proceeding with Imfinzi.	[0, 0, 0, 0, 0, 1]
49	I would NEVER put up with that behavior by your oncologist/radiologist.	[0, 0, 0, 0, 0, 1]
50	Listen to you body and if you feel like going to bed at 6:00 and sleeping until 10:00 a.m. just do it.	[0, 0, 0, 0, 0, 1]
51	I also hated the carb free diet, especially in that I had a case of the 24 hour flu on Saturday night, and the last thing I wanted Sunday was meat.	[0, 0, 0, 0, 0, 1]
52	Unless you want some slimeball using your email to sell Viagra, you should remove it now ;-)I don't know of any private cancer clinics that have a consistently good reputation, but here's a .	[0, 0, 0, 0, 0, 1]
53	I did not look into insurance coverage, because if I choose him or any other surgeon outside of my coverage, I'd have to pay for it myself.	[0, 0, 0, 0, 0, 1]
54	Well, sometimes being honest means it isn't always positive and can be very dark.	[0, 0, 0, 0, 0, 1]
55	I am doing what your suggesting and taking a step back to see wher ethis will all go, trying to get as much information as possible and make that informed decison.	[0, 0, 0, 0, 0, 1]
56	I had a mastectomy of the left breast and immediate reconstruction this past January.	[0, 0, 0, 0, 0, 1]
57	<PERSON>...nope if <PERSON> is a problem, this would probably cause domestic strife, too.	[0, 0, 0, 0, 0, 1]
58	Most recently I was using as many as three pads a day.	[0, 0, 0, 0, 0, 1]
59	"Some day in some way he will pay for the way he has treated you.We are here for you
<PERSON>"	[0, 0, 0, 0, 0, 1]
60	"you dont look good today""    Eva"	[0, 0, 0, 0, 0, 1]
61	I can not eat red meat at all, I vomit.	[0, 0, 0, 0, 0, 1]
62	He took his time and answered all our questions.	[0, 0, 0, 0, 0, 1]
63	Just because someone smoked does not mean that they deserve cancer either.	[0, 0, 0, 0, 0, 1]
64	If you ever get a dr that wants to give up on you run and find another dr. my first onc told if my cancer came back there was nothing that could be done, if it wasnt for the 2nd onc I wouldn't be here writing this good luck you are in my prayers.	[0, 0, 0, 0, 0, 1]
65	I will be gone Tuesday Sept. 30th and back Sunday Oct. 4th so it may be awhile before I can get back to you.	[0, 0, 0, 0, 0, 1]
66	Some lung cancers are faster growing, but most doctors are still comfortable waiting up to one month between diagnosis and treatment.	[0, 0, 0, 0, 0, 1]
67	The day before I shaved I had hair everyone in my house.	[0, 0, 0, 0, 0, 1]
68	The surgeon removed the nodule and a portion of her upper left lobe.	[0, 0, 0, 0, 0, 1]
69	No pain on the left side at all.	[0, 0, 0, 0, 0, 1]
70	I would definitely get a second opinion on the situation.	[0, 0, 0, 0, 0, 1]
71	As I read <PERSON> post, accuracy of the PCA3 pee test is NOT the issue.His doc just thinks that taking the PCA3 test will improve the likelihood that the insurer will approve <PERSON> for a Tesla 3 MRI.	[0, 0, 0, 0, 0, 1]
72	And, you look forward to having your breasts removed to make your girlfriends jealous in 10 years?	[0, 0, 0, 0, 0, 1]
73	Will continue to keep him in my prayers, along with the family.	[0, 0, 0, 0, 0, 1]
74	First I was so tired and sick from chemo.	[0, 0, 0, 0, 0, 1]
75	I had 33 sessions of radiation therapy and have to use oxygen when I sleep, upon exertion and when travel by plane.	[0, 0, 0, 0, 0, 1]
76	I wouldn't call mine 'lumpy bits' but lumps and bumps yes.....I believe it's the muscle and tissues after surgery that harden and need to be massaged, they will get better I'm told in time......time.......what a wonderful thing eh!	[0, 0, 0, 0, 0, 1]
77	I'm sure he is not taking the meds correctly, as he seems to be always in pain on the left side of his chest.	[0, 0, 0, 0, 0, 1]
78	At first, it is very trying, but the more one does it, the easier it gets.	[0, 0, 0, 0, 0, 1]
79	My survivor friends did pick up my goodie bag and I am wearing my survivor shirt right now!	[0, 0, 0, 0, 0, 1]
80	Even though I am fair,  this single hair is black,  and it's stiff as baling wire, and it's curly.	[0, 0, 0, 0, 0, 1]
81	However, those two things alone you fail to comment back to multiple inquires...based on that I guess no one has any reason to believe what you post - simple logic.	[0, 0, 0, 0, 0, 1]
82	I somehow missed most of the drama but came in on the posts from survivors that found out that they had been played with.	[0, 0, 0, 0, 0, 1]
83	It's a very bad idea and the only reason to perpetrate a bad idea is to fulfill a bad agenda.	[0, 0, 0, 0, 0, 1]
84	"There is a place to do this - your user account page has a section to post ""resources"", post pictures, etc."	[0, 0, 0, 0, 0, 1]
85	The school is still out whether it is atypical mets or something else..	[0, 0, 0, 0, 0, 1]
86	This will show if it's working.....I have to believe it is...both visually and by being able to feel the two places, they appear, to me, to be smaller...no idea of the other nodes that I can't feel....sooooo as long as there is no progression of the disease I will remain on this drug....My oncologist may back the dosage off as the reports he's getting from the trial is this upped dosage is kicking everyone's butt!	[0, 0, 0, 0, 0, 1]
87	I've been told the prostate has some enlargement but I don't think enough to be of concern.	[0, 0, 0, 0, 0, 1]
88	My Appointment was at 2pm on Friday.	[0, 0, 0, 0, 0, 1]
89	I will be following up with her if anything changes.	[0, 0, 0, 0, 0, 1]
90	As a man with prostate cancer who has studied this a great deal, I believe that without getting a PSA test(s) that many men will not be diagnosed in a timely fashion, and as a result will be diagnosed when it is too late....many will die.Unfortunately there is over treatment among men who have been diagnosed with low aggressive, low volume disease who as a result suffer serious side effects.	[0, 0, 0, 0, 0, 1]
91	"When I was originally diagnosed they also saw a spot in my right lung but the oncologist said not to worry, he said he didn't believe it was cancer but they would keep a close eye on it.In Feb.'11 my CT showed ""subtle changes"" in my lungs, May CT scan showed the changes were ""more distinguishable"" so they did a PET scan which showed a 2"" tumor in my right lung plus activity in my left lung and lymph nodes in the center of my chest."	[0, 0, 0, 0, 0, 1]
92	I also wake up sweating at night when the heater is on I get up and turn it off and my husband freezes .	[0, 0, 0, 0, 0, 1]
93	You should have my address floating somewhere nearby if you didnt loose it between Arizona and NY.	[0, 0, 0, 0, 0, 1]
94	"Yeah Margo
I also get the ""you're really handling this well"" comment...like what's my choice...handle it badly?"	[0, 0, 0, 0, 0, 1]
95	This site seems to have a much better outlook on recovery than I have seen elsewhere.	[0, 0, 0, 0, 0, 1]
96	I am A former smoker (quit 20 days ago) age 22 and diagnosed with an incidental 4mm lung nodule.	[0, 0, 0, 0, 0, 1]
97	However, oncologist scheduled another PET scan and blood test beginning of this month and I saw him at that time.	[0, 0, 0, 0, 0, 1]
98	I am thinking that the cancer created these sacs in between my lung lining and chest wall,and the fluid just collects there.	[0, 0, 0, 0, 0, 1]
99	"Hope you have a wonderful 40th  birthday.Lots of Hugs,
<PERSON>"	[0, 0, 0, 0, 0, 1]
