Unnamed: 0;tweet_id;text;science_related;scientific_claim;scientific_reference;scientific_context;Alain_émotions;Alain_émotions 2;Anton_émotions;Anton_émotions 2;Tony_émotion;Tony_émotions 2;emotion_majoritaire_toutes;emotion_majoritaire_em1
0;3.1666999813748326e+17;Knees are a bit sore. i guess that's a sign that my recent treadmilling is working;0;0.0;0.0;0.0;3;;3;3.0;5;3.0;3.0;3.0
1;3.190908665453855e+17;McDonald's breakfast stop then the gym 🏀💪;0;0.0;0.0;0.0;3;;3;;7;;3.0;3.0
2;3.2203093102206566e+17;Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX;1;1.0;0.0;0.0;7;;7;;7;;7.0;7.0
3;3.226948306208072e+17;Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.;1;1.0;0.0;0.0;2;6.0;6;;6;;6.0;6.0
4;3.285244266583286e+17;Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB;1;1.0;0.0;0.0;7;;7;;7;;7.0;7.0
6;3.313962037009449e+17;The Impact of Infertility on You and Your Relationship http://t.co/7pF7Z0wH8f;0;0.0;0.0;0.0;1;5.0;7;;7;;7.0;7.0
8;3.332667919608095e+17;“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX;1;1.0;1.0;1.0;7;;7;;7;;7.0;7.0
9;3.34282732085588e+17;Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30;1;1.0;0.0;0.0;7;3.0;7;;7;;7.0;7.0
10;3.3435003809027686e+17;The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c;1;0.0;1.0;1.0;5;;7;;7;;7.0;7.0
11;3.355422354520146e+17;@HankAzaria @TheSimpsons oh loneliness and cheeseburgers are a dangerous mix;0;0.0;0.0;0.0;5;;5;;6;;5.0;5.0
12;3.364317886185513e+17;#bbcsportsday Honestly think Liverpool are a left back and a right wing away from CL. Fabio Coentrao and James Rodriguez?;0;0.0;0.0;0.0;7;3.0;7;;3;;3.0;7.0
13;3.394539901798441e+17;@bpkelly12 if that damn book lady decides to stop being a fuckin retard ill be out of here in 2 days;0;0.0;0.0;0.0;2;;2;;2;;2.0;2.0
14;3.395587009708155e+17;Science sucks.;0;0.0;0.0;0.0;6;;2;;5;6.0;6.0;2.0
15;3.4220427916098765e+17;http://t.co/eJlnUg0Gog Pay attention to classification essays format;0;0.0;0.0;0.0;7;;7;;2;;7.0;7.0
16;3.442568205520118e+17;@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad;1;0.0;0.0;1.0;7;3.0;7;;7;;7.0;7.0
17;3.449062833605919e+17;Poverty is the greatest cause behind child labour. #RisePakistan;1;1.0;0.0;0.0;2;6.0;2;;5;;2.0;2.0
18;3.452263087809741e+17;"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?";1;1.0;0.0;0.0;4;;7;;4;;4.0;4.0
19;3.461308017269883e+17;About to just go to bed maybe cry a little and maybe stop breathing okay? Okay.;0;0.0;0.0;0.0;5;6.0;5;;5;2.0;5.0;5.0
20;3.4811099586195456e+17;"""@GreatestNotes: Stop searching for the right person. Just look for a good catcher.The one who could catch your heart when it starts falling";0;0.0;0.0;0.0;3;;7;;2;;2.0;2.0
21;3.49083884803199e+17;"HM Revenue defines tax evasion as ""serious"" when sum involved is higher than £50.000 worthy of prosecution. http://t.co/BN3MEqJWvV";0;0.0;0.0;0.0;4;7.0;7;;2;;7.0;2.0
23;3.501162128999711e+17;ThE Lazy Marketer Increase riches. How to be a leader. How to be recognized. Get protected. Chino Hills California;0;0.0;0.0;0.0;7;;7;;4;;7.0;7.0
24;3.506496612892754e+17;God dammit ... Poor decisions lead to negative consequences. Won't happen again;0;0.0;0.0;0.0;4;2.0;2;;6;5.0;2.0;2.0
25;3.521126870287688e+17;New post outlining SOLO mapping activity for Science http://t.co/uLArqkGCT8 Perhaps useful for other subjects too.;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
26;3.5478185137576346e+17;Girls with asses big enough to cause a pile up #BSE and #TooLive Presents #XXXplicit #July19 @ 814 S. Dixie hwy. Hollywood. FL 33020 Time 9;0;0.0;0.0;0.0;4;;7;;4;;4.0;4.0
27;3.5497156018610176e+17;A wise Physician said. “The best medicine for Humans is LOVE.” Some1 asked. “If it doesn’t work?” He smiled&answered. “ Increase the dose.”;1;1.0;0.0;0.0;3;;7;;3;;3.0;3.0
28;3.5733220119033446e+17;Zimmerman did not win the lotto ppl please stop spreading these Krazy rumors;0;0.0;0.0;0.0;2;5.0;2;;2;;2.0;2.0
29;3.575168106665247e+17;When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1;1;1.0;0.0;0.0;7;;7;;6;;7.0;7.0
30;3.588291454609695e+17;#BREAKING:Somalia: Al Shabab ambushes on Kenyan forces in Lower #Juba region http://t.co/h3OuYEpfoQ;0;0.0;0.0;0.0;4;;2;;2;;2.0;2.0
31;3.591849482944676e+17;dude if people don't stop retweeting that fake frank ocean account..;0;0.0;0.0;0.0;2;;2;;2;;2.0;2.0
32;3.612189173031936e+17;Teach children to treat animals responsibly do not teach captivity! Join us http://t.co/UR15gQPatU #FreeAllCetacea via @FreeAllCetacea;0;0.0;0.0;0.0;2;;7;;2;6.0;2.0;2.0
33;3.621774415963218e+17;Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28;1;1.0;0.0;0.0;4;1.0;1;;2;;1.0;1.0
34;3.628647160302838e+17;#YouKnowYouInTheHoodWhen u see taggings all over the stop signs and shit;0;0.0;0.0;0.0;2;;7;;7;;7.0;7.0
35;3.631725653651702e+17;MDLinx Blog: MDLinx Blog: Neuropsychological findings in pediatric maltreatment: relationship of PTSD.... http://t.co/sS24IDHCoD;1;0.0;1.0;1.0;7;;2;;7;;7.0;7.0
36;3.6371938096776806e+17;RT @rgj: Barrick Gold reports $8.56 billion Q2 loss http://t.co/fuaTuAH54i;0;0.0;0.0;0.0;4;;7;;4;;4.0;4.0
37;3.641573460265001e+17;Lemme stop talking anus;0;0.0;0.0;0.0;2;7.0;6;;4;;2.0;2.0
38;3.6889009797165466e+17;Mortgage Rates Continue Lower Ahead of... http://t.co/SfSvmYFJn7 #mortgage;0;0.0;0.0;0.0;3;;7;;6;;3.0;3.0
39;3.694973535032648e+17;"""@GeminisWeAre: # ZodiacAreUs: Lavender is the scent associated with #Gemini."" So that's the reason I LOVEEEEEEEE Lavended";0;0.0;0.0;0.0;4;7.0;3;;3;;3.0;3.0
40;3.6966283597214106e+17;65% of cats born with blue eyes are deaf.;1;1.0;0.0;0.0;5;;5;;5;;5.0;5.0
41;3.711976614390784e+17;@najdi_outsider @mayami2012 @mol7daa @ahlamm4 @bibi_dd 1. The study indicate that the brain atrophy is caused by stress not by religion;1;1.0;0.0;1.0;5;1.0;7;;7;;7.0;7.0
43;3.754813636687954e+17;Over thinking causes the mind to create negative scenarios and replay painful memories.;1;1.0;0.0;0.0;5;6.0;5;;7;;5.0;5.0
44;3.755993737718989e+17;Sleep 'boosts brain cell numbers' http://t.co/5d9b6G1vob;1;1.0;1.0;1.0;3;7.0;3;;3;;3.0;3.0
45;3.756942656925942e+17;Please read this request and support this wonderful charity. Continue to pray for Helen Wade and Michelle... http://t.co/WIMFrbPfpA;0;0.0;0.0;0.0;3;;5;;3;;3.0;3.0
46;3.775360391179346e+17;@mick_keeley omg stop ahahahah this is like year 5 sex ed;0;0.0;0.0;0.0;6;;6;;4;;6.0;6.0
47;3.780872923063378e+17;Versatile microRNAs Choke Off Cancer Blood Supply. Suppress Metastasis - Science Daily (press release) http://t.co/EFAfQCE57H;1;1.0;1.0;1.0;3;4.0;7;;5;;3.0;3.0
49;3.782593755946803e+17;Nerd out on this sprawling oral history of Apple design http://t.co/NFc51YVkkp;0;0.0;0.0;0.0;4;3.0;7;;7;;7.0;7.0
50;3.792182655006842e+17;“@UberFacts: During Medieval times. red hair was associated with intense sexual desire and moral degradation.” @EElise13;1;1.0;0.0;0.0;4;7.0;7;;7;;7.0;7.0
51;3.8001016758196224e+17;@CODEREDDD God see and knw yr heart plus u are a fighter continue to stand strong...i'm praying for u!;0;0.0;0.0;0.0;3;;3;;5;;3.0;3.0
52;3.803418649030902e+17;"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people...";1;1.0;0.0;0.0;2;6.0;2;;1;2.0;2.0;2.0
54;3.843302194960179e+17;Yay. Bianca! MT @BZGarcia: Cancer sux! Show support for @andi_sloan & affect positive change now. Sign the petition! http://t.co/KA077fN0gD;0;0.0;0.0;0.0;5;2.0;2;;3;;2.0;2.0
55;3.844055499050926e+17;This little bellend has to stop crying oh my god get a grip;0;0.0;0.0;0.0;2;5.0;6;;2;;2.0;2.0
56;3.848810959062999e+17;Wavy - Pound Cake (Freestyle): https://t.co/G2Prq59YLL - Support this record. I'm not the one just to send you anything @BET;0;0.0;0.0;0.0;7;;7;;4;;7.0;7.0
58;3.941319090321613e+17;The world stops for El Classico. Its the rules. Even stopped playing FIFA.;0;0.0;0.0;0.0;2;6.0;3;;3;;3.0;3.0
59;3.941591354002637e+17;"This Guy Singing ""No Woman No Drive"" Is The Best Video To Support Saudi Women Challenging Driving Ban: “In thi... http://t.co/wRc40wKPFk";0;0.0;0.0;0.0;4;6.0;7;;3;;3.0;3.0
60;3.960200684230656e+17;How To Fold A Suit. Shirt & Pants Together To Prevent Wrinkling - http://t.co/tLnnKTTKBU;0;0.0;0.0;0.0;4;;7;;7;;7.0;7.0
61;3.9694097269456896e+17;Modeling precision treatment of breast cancer - looks great ! http://t.co/4XzfGlwAWn;1;0.0;1.0;1.0;7;;3;;3;;3.0;3.0
62;3.972065489438679e+17;@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.;1;1.0;0.0;0.0;7;;7;;7;;7.0;7.0
63;3.984509917264855e+17;Aegon UK reports rise in earnings http://t.co/M3FRwylsZU;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
64;3.987163221937644e+17;@MC_Sincere those eyes are a gift send straight from God boy!!! Hahahaha;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
65;3.9889311281239245e+17;Amazon plans to lower the cost of processing big data in the cloud : http://t.co/GPpwtMqYlo #socialmedia;0;0.0;0.0;0.0;3;4.0;7;;4;;4.0;3.0
66;4.028449014756188e+17;#Multiple #Births Cost Significantly More Than Single Births. Study Shows http://t.co/A0alATsStW;1;1.0;1.0;1.0;4;7.0;4;;7;;4.0;4.0
67;4.0294148750967194e+17;The taxi 12s are a must have;0;0.0;0.0;0.0;3;;7;;7;;7.0;7.0
68;4.034547472873594e+17;"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk";1;1.0;0.0;0.0;3;6.0;5;;6;5.0;5.0;3.0
69;4.038929238312919e+17;GTA V Heists demand increases pressure on Rockstar http://t.co/xOduNxypRq #GTAV;0;0.0;0.0;0.0;7;;7;;2;;7.0;7.0
71;4.052338092530893e+17;Let your hope make you glad. Be patient in time if trouble and never stop praying. #Romans12:12;0;0.0;0.0;0.0;3;;7;;5;;3.0;3.0
72;4.059030817384694e+17;Leafs played an average game. Pittsburgh's mistakes lead to Leafs goals. Penguins deserved the W..;0;0.0;0.0;0.0;2;6.0;7;;6;;6.0;2.0
73;4.091225959470202e+17;Who Is Cindy Starfall Promote Cindy Starfall http://t.co/ataFNzowgo another fan vote for @CindyStarfall :-);0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
74;4.112477365254349e+17;Europa. a moon of Jupiter has a gigantic ocean beneath its icy surface which cracks and shoots water jets into space. http://t.co/rcLoSrZE0C;1;1.0;1.0;1.0;7;;4;;7;;7.0;7.0
75;4.116813856239821e+17;#wreckingbaIl Thousands rally to support fired Bogota mayor: Some Colombians believe Petro's dismissal could threaten... @onedirslaytion;0;0.0;0.0;0.0;4;7.0;7;;1;2.0;7.0;1.0
76;4.126501104602358e+17;Isis Supports Wells Fargo Visa Cards: Wells Fargo & Co. and Isis ®. the mobile commerce joint venture created ... http://t.co/DxxvRyQ9YZ;0;0.0;0.0;0.0;7;;7;;3;;7.0;7.0
78;4.135271152301178e+17;A lucky find of a toe fossil unlocks a genetic encyclopedia for neanderthals http://t.co/gfjo79RuSv;1;1.0;1.0;1.0;4;3.0;4;;3;;3.0;4.0
79;4.168202594718925e+17;Damn it! Dragon go back to bed and stop breathing fire everywhere;0;0.0;0.0;0.0;2;;7;;2;;2.0;2.0
80;4.1682490622387e+17;@mishra_abhi Media stop looking at caste identities & start looking at performance of MLAs/Ministers/officials/policemen @prasannavishy;0;0.0;0.0;0.0;4;;2;;5;;2.0;2.0
81;4.1739074506746266e+17;#WeLoveAndMissYouZayn #OneDirectionPleaseDoAFollowSpreeForNewYears Rt if u support gay rights;0;0.0;0.0;0.0;2;7.0;7;;7;;7.0;7.0
82;4.180445141385912e+17;Goals for 2014 are as follows: 1) Stop 2) Drop 3) Shut'em down 4) Open up shop.;0;0.0;0.0;0.0;7;;7;;3;;7.0;7.0
83;4.1903103977680486e+17;Hildersham villagers unite to stop pub closure @SouthCambs @Roger_Hickford http://t.co/KvO4SxJkel;0;0.0;0.0;0.0;3;5.0;7;;2;;2.0;2.0
84;4.190474307183738e+17;.@GreenJournal study show this infection can increase risk of strokes and heart attacks http://t.co/OnPKAwpomh;1;1.0;1.0;1.0;4;;1;;2;;1.0;1.0
85;4.202270199859322e+17;Looking for some fun science activities for the cold month ahead? January Science Calendar http://t.co/cGs2nvv7Bx @HSScientist;0;0.0;0.0;0.0;7;;7;;7;;7.0;7.0
86;4.240039868662006e+17;“@ashu_165: #CongBJPquitIndia Stop ur false propaganda http://t.co/Cp5NptVU0Q”#UnitedWithAAP;0;0.0;0.0;0.0;2;6.0;6;;2;;2.0;2.0
87;4.264827740656886e+17;Microsoft Says Product Demand Remains High. Reports Record $24.52 Billion Revenue For FY14 Q2 http://t.co/YmxCGR2I9L;0;0.0;0.0;0.0;4;;7;;3;;3.0;3.0
88;4.267516751020114e+17;Trekstock is being held in London not the LA so stop spreading rumours -J;0;0.0;0.0;0.0;2;;6;;2;;2.0;2.0
89;4.2704236552287034e+17;the dog will not stop fuckin snoring;0;0.0;0.0;0.0;2;;2;;2;;2.0;2.0
90;4.273973144879145e+17;Cesar stop a whole war is gonna break out with cheerleading;0;0.0;0.0;0.0;2;;2;;2;;2.0;2.0
92;4.301475262229709e+17;#REVENGE Interesting characters. non stop action and full of twists. this is a great new thriller! http://t.co/4ZpKXbl1Z3 XvvA;0;0.0;0.0;0.0;3;;3;;3;;3.0;3.0
93;4.306986081373512e+17;Law leads to guilt.guilt leads to struggle.struggle leads to failure.failure leads to more guilt.guilt leads to more sin + hopelessness!;1;1.0;0.0;0.0;2;7.0;7;;6;5.0;7.0;2.0
94;4.310301923129672e+17;Floral Hall Wedding Fayre Sunday Mar 23rd - All proceeds on door to go to @DougieMacstoke - Please come along and support #tunstall #stoke;0;0.0;0.0;0.0;3;;7;;3;;3.0;3.0
